*******************************************************************************
 Revised: June 21, 2016                 Mars                            499 / 4
 
 PHYSICAL DATA (updated 2019-Oct-29):
  Vol. mean radius (km) = 3389.92+-0.04   Density (g/cm^3)      =  3.933(5+-4)
  Mass x10^23 (kg)      =    6.4171       Flattening, f         =  1/169.779
  Volume (x10^10 km^3)  =   16.318        Equatorial radius (km)=  3396.19
  Sidereal rot. period  =   24.622962 hr  Sid. rot. rate, rad/s =  0.0000708822 
  Mean solar day (sol)  =   88775.24415 s Polar gravity m/s^2   =  3.758
  Core radius (km)      = ~1700           Equ. gravity  m/s^2   =  3.71
  Geometric Albedo      =    0.150                                              

  GM (km^3/s^2)         = 42828.375214    Mass ratio (Sun/Mars) = 3098703.59
  GM 1-sigma (km^3/s^2) = +- 0.00028      Mass of atmosphere, kg= ~ 2.5 x 10^16
  Mean temperature (K)  =  210            Atmos. pressure (bar) =    0.0056 
  Obliquity to orbit    =   25.19 deg     Max. angular diam.    =  17.9"
  Mean sidereal orb per =    1.88081578 y Visual mag. V(1,0)    =  -1.52
  Mean sidereal orb per =  686.98 d       Orbital speed,  km/s  =  24.13
  Hill's sphere rad. Rp =  319.8          Escape speed, km/s    =   5.027
                                 Perihelion  Aphelion    Mean
  Solar Constant (W/m^2)         717         493         589
  Maximum Planetary IR (W/m^2)   470         315         390
  Minimum Planetary IR (W/m^2)    30          30          30
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Sun Nov 17 08:14:42 2024 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Mars (499)                      {source: mar097}
Center body name: Earth (399)                     {source: DE441}
Center-site name: (user defined site below)
*******************************************************************************
Start time      : A.D. 2024-Dec-01 20:00:00.0000 UT      
Stop  time      : A.D. 2025-Apr-01 20:00:00.0000 UT      
Step-size       : 1440 minutes
*******************************************************************************
Target pole/equ : IAU_MARS                        {West-longitude positive}
Target radii    : 3396.19, 3396.19, 3376.2 km     {Equator_a, b, pole_c}       
Center geodetic : 121.6333, 25.0333, 1.72871E-12  {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 121.6333,5782.45421,2682.41715  {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : ITRF93                          {East-longitude positive}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}       
Target primary  : Sun
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE441}
Rel. light bend : Sun                             {source: DE441}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Atmos refraction: NO (AIRLESS)
RA format       : HMS
Time format     : CAL 
Calendar mode   : Mixed Julian/Gregorian
EOP file        : eop.241115.p250211                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2024-NOV-15. PREDICTS-> 2025-FEB-10
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
***************************************************************************************************************************************************************************************************************************************************************************************************************************
 Date__(UT)__HR:MN, , , R.A._(ICRF), DEC__(ICRF), Azi_(a-app), Elev_(a-app),  dAZ*cosE, d(ELV)/dt,    APmag,  S-brt,    NP.ang,  NP.dist,             delta,     deldot,     S-O-T,/r,     S-T-O,     ObsEcLon,   ObsEcLat,  RA_(ICRF-a-app), DEC_(ICRF-a-app),  Sky_motion, Sky_mot_PA, RelVel-ANG,  Lun_Sky_Brt, sky_SNR,
***************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
 2024-Dec-01 20:00, , , 08 34 46.15, +21 21 57.7,  223.259096,    84.909232,    626.96,   -560.21,   -0.486,  4.511,  354.5237,    5.602,  0.80060492275041,-11.1412257,  124.0910,/L,   31.1092,  125.9963860,  2.5888202,      08 34 46.98,      +21 21 54.0,   0.1602356,  66.159151,  -82.07613,         n.a.,    n.a.,
 2024-Dec-02 20:00, , , 08 35 04.14, +21 23 39.2,  229.879913,    84.329065,    562.04,   -625.15,   -0.507,  4.509,  354.5708,    5.648,  0.79419238110354,-11.0073705,  125.0418,/L,   30.6869,  126.0571905,  2.6335053,      08 35 04.99,      +21 23 35.4,   0.1368345,  57.691408,  -83.19447,         n.a.,    n.a.,
 2024-Dec-03 20:00, , , 08 35 18.96, +21 25 33.0,  235.345813,    83.683381,    504.16,   -672.51,   -0.541,  4.495,  354.6098,    5.694,  0.78785545820409,-10.8668439,  126.0054,/L,   30.2525,  126.1051675,  2.6784736,      08 35 19.82,      +21 25 29.2,   0.1173555,  45.959778,  -84.12788,         n.a.,    n.a.,
 2024-Dec-04 20:00, , , 08 35 30.56, +21 27 39.4,  239.882642,    82.985835,    453.90,   -707.21,   -0.565,  4.491,  354.6407,    5.741,  0.78159797430429,-10.7196080,  126.9821,/L,   29.8061,  126.1401597,  2.7237043,      08 35 31.44,      +21 27 35.5,   0.1043796,  30.338401,  -84.74380,         n.a.,    n.a.,
 2024-Dec-05 20:00, , , 08 35 38.91, +21 29 58.4,  243.684964,    82.246315,    410.77,   -732.89,   -0.573,  4.503,  354.6633,    5.787,  0.77542376407468,-10.5656534,  127.9719,/L,   29.3473,  126.1620222,  2.7691743,      08 35 39.81,      +21 29 54.4,   0.1007896,  11.887248,  -84.89052,         n.a.,    n.a.,
 2024-Dec-06 20:00, , , 08 35 43.97, +21 32 30.0,  246.908638,    81.471921,    373.88,   -752.14,   -0.592,  4.503,  354.6775,    5.834,  0.76933666121836,-10.4049956,  128.9749,/L,   28.8762,  126.1706241,  2.8148585,      08 35 44.89,      +21 32 25.9,   0.1078033,  353.87802,  -84.49651,         n.a.,    n.a.,
 2024-Dec-07 20:00, , , 08 35 45.71, +21 35 14.3,  249.674704,    80.667766,    342.31,   -766.77,   -0.630,  4.484,  354.6832,    5.881,  0.76334048572950,-10.2376697,  129.9913,/L,   28.3925,  126.1658489,  2.8607288,      08 35 46.65,      +21 35 10.2,   0.1238363,  339.17505,  -83.63144,         n.a.,    n.a.,
 2024-Dec-08 20:00, , , 08 35 44.10, +21 38 11.2,  252.076154,    79.837576,    315.22,   -778.03,   -0.663,  4.470,  354.6805,    5.929,  0.75743903481759,-10.0637227,  131.0210,/L,   27.8963,  126.1475956,  2.9067553,      08 35 45.06,      +21 38 07.0,   0.1460963,  328.28556,  -82.42890,         n.a.,    n.a.,
 2024-Dec-09 20:00, , , 08 35 39.11, +21 41 20.8,  254.184404,    78.984100,    291.88,   -786.79,   -0.689,  4.463,  354.6691,    5.976,  0.75163607879501, -9.8832038,  132.0642,/L,   27.3873,  126.1157771,  2.9529055,      08 35 40.10,      +21 41 16.5,   0.1722929,  320.41006,  -80.99980,         n.a.,    n.a.,
 2024-Dec-10 20:00, , , 08 35 30.72, +21 44 42.9,  256.054590,    78.109394,    271.69,   -793.68,   -0.725,  4.446,  354.6491,    6.023,  0.74593536374481, -9.6961507,  133.1209,/L,   26.8656,  126.0703186,  2.9991446,      08 35 31.72,      +21 44 38.6,   0.2009697,  314.63707,  -79.41434,         n.a.,    n.a.,
