*******************************************************************************
 Revised: April 12, 2021             Mercury                            199 / 1

 PHYSICAL DATA (updated 2024-Mar-04):
  Vol. Mean Radius (km) =  2439.4+-0.1    Density (g cm^-3)     = 5.427
  Mass x10^23 (kg)      =     3.302       Volume (x10^10 km^3)  = 6.085  
  Sidereal rot. period  =    58.6463 d    Sid. rot. rate (rad/s)= 0.00000124001
  Mean solar day        =   175.9421 d    Core radius (km)      = ~1600 
  Geometric Albedo      =     0.106       Surface emissivity    = 0.77+-0.06
  GM (km^3/s^2)         = 22031.86855     Equatorial radius, Re = 2440.53 km
  GM 1-sigma (km^3/s^2) =                 Mass ratio (Sun/plnt) = 6023682
  Mom. of Inertia       =     0.33        Equ. gravity  m/s^2   = 3.701     
  Atmos. pressure (bar) = < 5x10^-15      Max. angular diam.    = 11.0"   
  Mean Temperature (K)  = 440             Visual mag. V(1,0)    = -0.42 
  Obliquity to orbit[1] =  2.11' +/- 0.1' Hill's sphere rad. Rp = 94.4 
  Sidereal orb. per.    =  0.2408467 y    Mean Orbit vel.  km/s = 47.362 
  Sidereal orb. per.    = 87.969257  d    Escape vel. km/s      =  4.435
                                 Perihelion  Aphelion    Mean
  Solar Constant (W/m^2)         14462       6278        9126
  Maximum Planetary IR (W/m^2)   12700       5500        8000
  Minimum Planetary IR (W/m^2)   6           6           6
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Sun Nov 17 05:10:55 2024 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Mercury (199)                   {source: DE441}
Center body name: Earth (399)                     {source: DE441}
Center-site name: (user defined site below)
*******************************************************************************
Start time      : A.D. 2022-Dec-01 00:00:00.0000 UT      
Stop  time      : A.D. 2026-Dec-01 00:00:00.0000 UT      
Step-size       : 1440 minutes
*******************************************************************************
Target pole/equ : IAU_MERCURY                     {West-longitude positive}
Target radii    : 2440.53, 2440.53, 2438.26 km    {Equator_a, b, pole_c}       
Center geodetic : 121.6333, 25.0333, 1.72871E-12  {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 121.6333,5782.45421,2682.41715  {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : ITRF93                          {East-longitude positive}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}       
Target primary  : Sun
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE441}
Rel. light bend : Sun                             {source: DE441}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Atmos refraction: NO (AIRLESS)
RA format       : HMS
Time format     : CAL 
Calendar mode   : Mixed Julian/Gregorian
EOP file        : eop.241115.p250211                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2024-NOV-15. PREDICTS-> 2025-FEB-10
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
***************************************************************************************************************************************************************************************************************************************************************************************************************************
 Date__(UT)__HR:MN, , , R.A._(ICRF), DEC__(ICRF), Azi_(a-app), Elev_(a-app),  dAZ*cosE, d(ELV)/dt,    APmag,  S-brt,    NP.ang,  NP.dist,             delta,     deldot,     S-O-T,/r,     S-T-O,     ObsEcLon,   ObsEcLat,  RA_(ICRF-a-app), DEC_(ICRF-a-app),  Sky_motion, Sky_mot_PA, RelVel-ANG,  Lun_Sky_Brt, sky_SNR,
***************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
 2022-Dec-01 00:00,*, , 17 19 05.19, -25 07 29.2,  121.887052,     6.823268,    428.85,    690.86,   -0.630,  2.515,    9.8487,   -2.472,  1.35906205558741,-17.8840494,   12.4567,/T,   28.2355,  261.0537138, -2.0165824,      17 19 03.71,      -25 07 27.8,   3.8014766,  96.347713,  -15.98523,         n.a.,    n.a.,
 2022-Dec-02 00:00,*, , 17 25 46.79, -25 16 52.3,  121.689171,     6.212882,    424.46,    692.37,   -0.624,  2.530,    9.0868,   -2.491,  1.34862243060758,-18.9780069,   12.9677,/T,   29.7080,  262.5757013, -2.0743246,      17 25 45.31,      -25 16 51.1,   3.7920773,  95.510776,  -17.07145,         n.a.,    n.a.,
 2022-Dec-03 00:00,*, , 17 32 28.39, -25 24 53.7,  121.475852,     5.613940,    420.12,    693.99,   -0.620,  2.544,    8.3188,   -2.512,  1.33754591075747,-20.0918001,   13.4740,/T,   31.2287,  264.0939334, -2.1270247,      17 32 26.90,      -25 24 52.8,   3.7816235,  94.659650,  -18.19617,         n.a.,    n.a.,
 2022-Dec-04 00:00,*, , 17 39 09.69, -25 31 32.3,  121.247190,     5.027226,    415.86,    695.72,   -0.617,  2.558,    7.5457,   -2.534,  1.32582070473525,-21.2265561,   13.9752,/T,   32.8027,  265.6079311, -2.1743671,      17 39 08.21,      -25 31 31.6,   3.7698283,  93.794378,  -19.36325,         n.a.,    n.a.,
 2022-Dec-05 00:00,*, , 17 45 50.39, -25 36 47.0,  121.003343,     4.453647,    411.68,    697.54,   -0.616,  2.571,    6.7688,   -2.558,  1.31343441904712,-22.3832235,   14.4705,/T,   34.4351,  267.1170866, -2.2160142,      17 45 48.90,      -25 36 46.6,   3.7563586,  92.914911,  -20.57685,         n.a.,    n.a.,
 2022-Dec-06 00:00,*, , 17 52 30.11, -25 40 36.8,  120.744543,     3.894243,    407.61,    699.47,   -0.615,  2.583,    5.9891,   -2.583,  1.30037417689867,-23.5625155,   14.9591,/T,   36.1317,  268.6206423, -2.2516038,      17 52 28.62,      -25 40 36.6,   3.7408285,  92.021077,  -21.84155,         n.a.,    n.a.,
 2022-Dec-07 00:00,*, , 17 59 08.43, -25 43 00.8,  120.471108,     3.350212,    403.66,    701.49,   -0.614,  2.595,    5.2082,   -2.611,  1.28662677315386,-24.7648410,   15.4402,/T,   37.8984,  270.1176669, -2.2807471,      17 59 06.95,      -25 43 00.9,   3.7227904,  91.112539,  -23.16234,         n.a.,    n.a.,
 2022-Dec-08 00:00,*, , 18 05 44.89, -25 43 58.3,  120.183462,     2.822931,    399.84,    703.60,   -0.614,  2.607,    4.4276,   -2.640,  1.27217887342211,-25.9902205,   15.9126,/T,   39.7417,  271.6070290, -2.3030259,      18 05 43.41,      -25 43 58.6,   3.7017260,  90.188749,  -24.54466,         n.a.,    n.a.,
 2022-Dec-09 00:00,*, , 18 12 18.94, -25 43 28.6,  119.882155,     2.313979,    396.17,    705.80,   -0.614,  2.620,    3.6488,   -2.672,  1.25701726721253,-27.2381828,   16.3749,/T,   41.6684,  273.0873660, -2.3179894,      18 12 17.47,      -25 43 29.2,   3.6770351,  89.248877,  -25.99451,         n.a.,    n.a.,
 2022-Dec-10 00:00,*,m, 18 18 49.98, -25 41 31.6,  119.567882,     1.825169,    392.67,    708.07,   -0.614,  2.633,    2.8735,   -2.706,  1.24112918702343,-28.5076388,   16.8255,/T,   43.6860,  274.5570490, -2.3251520,      18 18 48.51,      -25 41 32.3,   3.6480237,  88.291723,  -27.51844,         n.a.,    n.a.,
