*******************************************************************************
 Revised: June 21, 2016                 Mars                            499 / 4
 
 PHYSICAL DATA (updated 2019-Oct-29):
  Vol. mean radius (km) = 3389.92+-0.04   Density (g/cm^3)      =  3.933(5+-4)
  Mass x10^23 (kg)      =    6.4171       Flattening, f         =  1/169.779
  Volume (x10^10 km^3)  =   16.318        Equatorial radius (km)=  3396.19
  Sidereal rot. period  =   24.622962 hr  Sid. rot. rate, rad/s =  0.0000708822 
  Mean solar day (sol)  =   88775.24415 s Polar gravity m/s^2   =  3.758
  Core radius (km)      = ~1700           Equ. gravity  m/s^2   =  3.71
  Geometric Albedo      =    0.150                                              

  GM (km^3/s^2)         = 42828.375214    Mass ratio (Sun/Mars) = 3098703.59
  GM 1-sigma (km^3/s^2) = +- 0.00028      Mass of atmosphere, kg= ~ 2.5 x 10^16
  Mean temperature (K)  =  210            Atmos. pressure (bar) =    0.0056 
  Obliquity to orbit    =   25.19 deg     Max. angular diam.    =  17.9"
  Mean sidereal orb per =    1.88081578 y Visual mag. V(1,0)    =  -1.52
  Mean sidereal orb per =  686.98 d       Orbital speed,  km/s  =  24.13
  Hill's sphere rad. Rp =  319.8          Escape speed, km/s    =   5.027
                                 Perihelion  Aphelion    Mean
  Solar Constant (W/m^2)         717         493         589
  Maximum Planetary IR (W/m^2)   470         315         390
  Minimum Planetary IR (W/m^2)    30          30          30
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Sun Nov 17 07:57:30 2024 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Mars (499)                      {source: mar097}
Center body name: Earth (399)                     {source: DE441}
Center-site name: (user defined site below)
*******************************************************************************
Start time      : A.D. 2024-Oct-01 20:00:00.0000 UT      
Stop  time      : A.D. 2025-Apr-01 20:00:00.0000 UT      
Step-size       : 1440 minutes
*******************************************************************************
Target pole/equ : IAU_MARS                        {West-longitude positive}
Target radii    : 3396.19, 3396.19, 3376.2 km     {Equator_a, b, pole_c}       
Center geodetic : 121.6333, 25.0333, 1.72871E-12  {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 121.6333,5782.45421,2682.41715  {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : ITRF93                          {East-longitude positive}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}       
Target primary  : Sun
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE441}
Rel. light bend : Sun                             {source: DE441}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Atmos refraction: NO (AIRLESS)
RA format       : HMS
Time format     : CAL 
Calendar mode   : Mixed Julian/Gregorian
EOP file        : eop.241115.p250211                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2024-NOV-15. PREDICTS-> 2025-FEB-10
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
***************************************************************************************************************************************************************************************************************************************************************************************************************************
 Date__(UT)__HR:MN, , , R.A._(ICRF), DEC__(ICRF), Azi_(a-app), Elev_(a-app),  dAZ*cosE, d(ELV)/dt,    APmag,  S-brt,    NP.ang,  NP.dist,             delta,     deldot,     S-O-T,/r,     S-T-O,     ObsEcLon,   ObsEcLat,  RA_(ICRF-a-app), DEC_(ICRF-a-app),  Sky_motion, Sky_mot_PA, RelVel-ANG,  Lun_Sky_Brt, sky_SNR,
***************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
 2024-Oct-01 20:00, , , 07 05 08.14, +23 08 39.7,   86.341269,    58.993097,    151.84,    814.75,    0.401,  4.393,  341.5809,    3.720,  1.23471997292958,-12.0628891,   83.8433,/L,   41.4402,  105.2866908,  0.5487535,      07 05 08.02,      +23 08 39.7,   1.2805050,  93.715351,  -32.25958,         n.a.,    n.a.,
 2024-Oct-02 20:00, , , 07 07 23.47, +23 06 33.7,   86.549756,    59.367994,    152.08,    814.94,    0.384,  4.388,  341.8810,    3.739,  1.22786455931620,-12.1080788,   84.3083,/L,   41.4245,  105.8059628,  0.5727816,      07 07 23.37,      +23 06 33.7,   1.2704555,  93.890135,  -32.70562,         n.a.,    n.a.,
 2024-Oct-03 20:00, , , 07 09 37.72, +23 04 23.2,   86.764747,    59.746860,    152.39,    815.13,    0.369,  4.386,  342.1802,    3.758,  1.22098207233152,-12.1519813,   84.7777,/L,   41.4057,  106.3212732,  0.5970430,      07 09 37.62,      +23 04 23.1,   1.2602245,  94.061124,  -33.15854,         n.a.,    n.a.,
 2024-Oct-04 20:00, , , 07 11 50.85, +23 02 08.4,   86.986396,    60.129774,    152.77,    815.32,    0.356,  4.385,  342.4783,    3.777,  1.21407324642294,-12.1945548,   85.2518,/L,   41.3838,  106.8325540,  0.6215427,      07 11 50.77,      +23 02 08.3,   1.2498130,  94.228226,  -33.61837,         n.a.,    n.a.,
 2024-Oct-05 20:00, , , 07 14 02.85, +22 59 49.6,   87.214870,    60.516813,    153.22,    815.49,    0.335,  4.377,  342.7753,    3.796,  1.20713883636035,-12.2357689,   85.7305,/L,   41.3587,  107.3397363,  0.6462855,      07 14 02.78,      +22 59 49.4,   1.2392218,  94.391352,  -34.08515,         n.a.,    n.a.,
 2024-Oct-06 20:00, , , 07 16 13.70, +22 57 26.9,   87.450347,    60.908051,    153.75,    815.66,    0.316,  4.370,  343.0710,    3.816,  1.20017961087717,-12.2756039,   86.2139,/L,   41.3303,  107.8427503,  0.6712762,      07 16 13.64,      +22 57 26.8,   1.2284521,  94.550417,  -34.55899,         n.a.,    n.a.,
 2024-Oct-07 20:00, , , 07 18 23.38, +22 55 00.7,   87.693019,    61.303563,    154.36,    815.81,    0.301,  4.368,  343.3654,    3.836,  1.19319634628921,-12.3140515,   86.7020,/L,   41.2986,  108.3415245,  0.6965196,      07 18 23.34,      +22 55 00.5,   1.2175046,  94.705337,  -35.03996,         n.a.,    n.a.,
 2024-Oct-08 20:00, , , 07 20 31.88, +22 52 31.2,   87.943096,    61.703418,    155.06,    815.96,    0.298,  4.379,  343.6584,    3.856,  1.18618981976242,-12.3511156,   87.1950,/L,   41.2634,  108.8359859,  0.7220204,      07 20 31.85,      +22 52 31.0,   1.2063802,  94.856030,  -35.52820,         n.a.,    n.a.,
 2024-Oct-09 20:00, , , 07 22 39.18, +22 49 58.5,   88.200808,    62.107688,    155.83,    816.10,    0.296,  4.390,  343.9499,    3.877,  1.17916080159464,-12.3868148,   87.6929,/L,   41.2248,  109.3260601,  0.7477833,      07 22 39.16,      +22 49 58.3,   1.1950800,  95.002418,  -36.02386,         n.a.,    n.a.,
 2024-Oct-10 20:00, , , 07 24 45.26, +22 47 23.0,   88.466403,    62.516437,    156.70,    816.22,    0.298,  4.405,  344.2398,    3.898,  1.17211004568106,-12.4211863,   88.1957,/L,   41.1827,  109.8116714,  0.7738125,      07 24 45.25,      +22 47 22.7,   1.1836044,  95.144424,  -36.52715,         n.a.,    n.a.,
