*******************************************************************************
 Revised: June 21, 2016                 Mars                            499 / 4
 
 PHYSICAL DATA (updated 2019-Oct-29):
  Vol. mean radius (km) = 3389.92+-0.04   Density (g/cm^3)      =  3.933(5+-4)
  Mass x10^23 (kg)      =    6.4171       Flattening, f         =  1/169.779
  Volume (x10^10 km^3)  =   16.318        Equatorial radius (km)=  3396.19
  Sidereal rot. period  =   24.622962 hr  Sid. rot. rate, rad/s =  0.0000708822 
  Mean solar day (sol)  =   88775.24415 s Polar gravity m/s^2   =  3.758
  Core radius (km)      = ~1700           Equ. gravity  m/s^2   =  3.71
  Geometric Albedo      =    0.150                                              

  GM (km^3/s^2)         = 42828.375214    Mass ratio (Sun/Mars) = 3098703.59
  GM 1-sigma (km^3/s^2) = +- 0.00028      Mass of atmosphere, kg= ~ 2.5 x 10^16
  Mean temperature (K)  =  210            Atmos. pressure (bar) =    0.0056 
  Obliquity to orbit    =   25.19 deg     Max. angular diam.    =  17.9"
  Mean sidereal orb per =    1.88081578 y Visual mag. V(1,0)    =  -1.52
  Mean sidereal orb per =  686.98 d       Orbital speed,  km/s  =  24.13
  Hill's sphere rad. Rp =  319.8          Escape speed, km/s    =   5.027
                                 Perihelion  Aphelion    Mean
  Solar Constant (W/m^2)         717         493         589
  Maximum Planetary IR (W/m^2)   470         315         390
  Minimum Planetary IR (W/m^2)    30          30          30
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Sun Nov 17 07:59:24 2024 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Mars (499)                      {source: mar097}
Center body name: Earth (399)                     {source: DE441}
Center-site name: (user defined site below)
*******************************************************************************
Start time      : A.D. 2024-Apr-01 20:00:00.0000 UT      
Stop  time      : A.D. 2025-Apr-01 20:00:00.0000 UT      
Step-size       : 1440 minutes
*******************************************************************************
Target pole/equ : IAU_MARS                        {West-longitude positive}
Target radii    : 3396.19, 3396.19, 3376.2 km     {Equator_a, b, pole_c}       
Center geodetic : 121.6333, 25.0333, 1.72871E-12  {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 121.6333,5782.45421,2682.41715  {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : ITRF93                          {East-longitude positive}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}       
Target primary  : Sun
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE441}
Rel. light bend : Sun                             {source: DE441}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Atmos refraction: NO (AIRLESS)
RA format       : HMS
Time format     : CAL 
Calendar mode   : Mixed Julian/Gregorian
EOP file        : eop.241115.p250211                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2024-NOV-15. PREDICTS-> 2025-FEB-10
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
***************************************************************************************************************************************************************************************************************************************************************************************************************************
 Date__(UT)__HR:MN, , , R.A._(ICRF), DEC__(ICRF), Azi_(a-app), Elev_(a-app),  dAZ*cosE, d(ELV)/dt,    APmag,  S-brt,    NP.ang,  NP.dist,             delta,     deldot,     S-O-T,/r,     S-T-O,     ObsEcLon,   ObsEcLat,  RA_(ICRF-a-app), DEC_(ICRF-a-app),  Sky_motion, Sky_mot_PA, RelVel-ANG,  Lun_Sky_Brt, sky_SNR,
***************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
 2024-Apr-01 20:00, ,m, 22 37 57.93, -09 57 25.0,   99.961594,    -1.914280,    375.52,    804.03,    1.114,  4.061,  345.6740,   -2.026,  2.08722752626393, -7.0329851,   34.9345,/L,   24.2974,  337.6601408, -1.2258715,      22 37 56.85,      -09 57 31.1,   1.9432852,  68.387253,  -8.167713,         n.a.,    n.a.,
 2024-Apr-02 20:00, ,m, 22 40 54.00, -09 40 09.8,   99.806133,    -1.566629,    376.51,    804.41,    1.105,  4.056,  345.1987,   -2.028,  2.08340567692892, -7.0304297,   35.1425,/L,   24.4489,  338.4383880, -1.2291009,      22 40 52.93,      -09 40 15.9,   1.9431240,  68.268010,  -8.180210,         n.a.,    n.a.,
 2024-Apr-03 20:00, ,m, 22 43 49.77, -09 22 49.3,   99.650314,    -1.216939,    377.45,    804.79,    1.093,  4.047,  344.7255,   -2.030,  2.07958533703708, -7.0282819,   35.3501,/L,   24.5999,  339.2165728, -1.2322013,      22 43 48.70,      -09 22 55.4,   1.9429182,  68.152571,  -8.193400,         n.a.,    n.a.,
 2024-Apr-04 20:00, ,m, 22 46 45.23, -09 05 23.9,   99.494167,    -0.865256,    378.37,    805.17,    1.072,  4.030,  344.2544,   -2.033,  2.07576627704128, -7.0264787,   35.5573,/L,   24.7504,  339.9946696, -1.2351721,      22 46 44.17,      -09 05 30.0,   1.9426620,  68.040963,  -8.207239,         n.a.,    n.a.,
 2024-Apr-05 20:00, ,m, 22 49 40.40, -08 47 53.7,   99.337719,    -0.511629,    379.25,    805.54,    1.062,  4.023,  343.7856,   -2.035,  2.07194831697507, -7.0249097,   35.7640,/L,   24.9003,  340.7726543, -1.2380128,      22 49 39.34,      -08 47 59.8,   1.9423504,  67.933214,  -8.221625,         n.a.,    n.a.,
 2024-Apr-06 20:00, , , 22 52 35.27, -08 30 18.9,   99.181000,    -0.156101,    380.09,    805.90,    1.060,  4.024,  343.3192,   -2.037,  2.06813135425768, -7.0234180,   35.9704,/L,   25.0497,  341.5505061, -1.2407233,      22 52 34.22,      -08 30 25.0,   1.9419797,  67.829350,  -8.236394,         n.a.,    n.a.,
 2024-Apr-07 20:00, , , 22 55 29.86, -08 12 39.8,   99.024036,     0.201283,    380.89,    806.26,    1.071,  4.038,  342.8553,   -2.040,  2.06431538736059, -7.0218135,   36.1764,/L,   25.1986,  342.3282089, -1.2433038,      22 55 28.81,      -08 12 45.9,   1.9415486,  67.729388,  -8.251336,         n.a.,    n.a.,
 2024-Apr-08 20:00, , , 22 58 24.15, -07 54 56.6,   98.866852,     0.560476,    381.65,    806.61,    1.076,  4.047,  342.3940,   -2.043,  2.06050052704275, -7.0199023,   36.3820,/L,   25.3469,  343.1057498, -1.2457544,      22 58 23.11,      -07 55 02.7,   1.9410586,  67.633335,  -8.266219,         n.a.,    n.a.,
 2024-Apr-09 20:00, , , 23 01 18.17, -07 37 09.4,   98.709473,     0.921431,    382.38,    806.96,    1.091,  4.065,  341.9354,   -2.045,  2.05668698894020, -7.0175202,   36.5872,/L,   25.4946,  343.8831161, -1.2480754,      23 01 17.13,      -07 37 15.5,   1.9405142,  67.541183,  -8.280831,         n.a.,    n.a.,
 2024-Apr-10 20:00, , , 23 04 11.90, -07 19 18.5,   98.551922,     1.284095,    383.06,    807.30,    1.095,  4.073,  341.4796,   -2.048,  2.05287506759290, -7.0145608,   36.7921,/L,   25.6418,  344.6602923, -1.2502671,      23 04 10.87,      -07 19 24.6,   1.9399220,  67.452914,  -8.295019,         n.a.,    n.a.,
